shortGenotype,media,background,matingType,reference,comment
zip1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
zta1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
wild type     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
aac1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
abp1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
aco1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
acp1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
act1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
adh1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,Not long-lived when remade; original strain diploid
adh5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
afg3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
agc1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
akl1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
alg12     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
alg9     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ark1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
arp2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
arp3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
arp4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
avo2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
bcy1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
bpt1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
bsc1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
bug1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cbf5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cbk1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cct2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cct3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cct4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cct5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cct6     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cct7     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc15     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc16     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc23     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc27     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc28     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc33     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc46     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc47     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cdc54     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cop1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cox4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cth1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cup9     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
cyt1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
dbf20     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
dbp3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
dbp5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
dbp6     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
dbp8     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
dhr2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
drs1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ecm16     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ena1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ena2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ena5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
erb1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
erg11     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
erg5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ero1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
etr1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
fal1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
flx1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
fun12     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
fur1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
gar1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
gcn2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
gpi10     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
has1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
hca4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
hrb1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
hrp1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
hse1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
hyp2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
idh1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
idh2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
idp1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
idp2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
idp3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ifh1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ils1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
inp51     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
inp52     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
inp53     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
inp54     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ipl1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ism1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
kel1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
kex2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
kip2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
kog1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
las17     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
leu1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
leu2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
leu5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
lsb1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
lsb3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
lst8     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
lys12     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
lys4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mak11     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mcm2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mcm3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mcm6     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mec1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mes1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mir1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mnn4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mrpl4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
msg5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mtl1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
mtm1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
nab3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ncl1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
nob1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
nop1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
nop2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
nop58     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
nrk1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
nst1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pab1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pac2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pet8     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pet9     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pex5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pfs2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pfy1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pgi1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pho2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pik1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pin3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pkc1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pkh1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pkh2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pkh3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pma1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pma2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pmr1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,Not long-lived when remade; original strain diploid
prk1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
prp16     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
prp2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
prp22     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
prp4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
prp43     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
prp46     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
prt1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ptr2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
pwp2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rcl1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
red1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rfx1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rim2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rip1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rok1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpg1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpl19a     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpl19b     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpl30     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpl4a     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpl4b     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpl6a     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpl6b     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpl9a     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpl9b     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rps11a     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rps15     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rps22b     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rps26a     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rps26b     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rps3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rps6a     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rps8a     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rps8b     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpt1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpt2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rpt6     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rrp3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rrp46     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rrp8     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
rsm19     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sal1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sam1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
scp160     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sdp1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sec4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sec7     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sfc1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sft2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sis2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ski6     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
skm1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
slx8     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
smc4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
spb4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
spc110     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sps19     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
spt4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
spt5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sso1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ste11     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sth1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
stt4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sub2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
sui3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
taf5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
taf7     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tcp1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tif1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tif2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tif4631     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tif4632     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tif5     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tis11     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tlg2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
top2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tor1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tor2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tos3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tos8     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tpk3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
tpm1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ugp1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
urk1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
vas1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
vid30     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
vph1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
vps1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
wsc3     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
wsc4     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ybl113c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ybr042c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ybr147w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ybt1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ycf1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ycr072c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ydr020c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yel006w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yel077c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yfh1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ygr130c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yhr219w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yil006w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yil055c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yil169c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yil177c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yir036c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yjl200c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yjl225c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ykl105c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ymr010w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ymr018w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ymr173w-a     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ymr226c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ynl208w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yol092w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yor111w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ypk2     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ypl009c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ypl105c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ypr011c     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ypr204w     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ypt1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ypt31     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ypt32     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ypt6     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
ysc84     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yuh1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
yvh1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
zip1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
zta1     ,,BY4741,a,Smith Kennedy 2008 Genome Research,
wild type     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
afg3 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
alg12 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
dbp3 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
elp4 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
gpa2 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
hxk2 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
idh1 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
idh2 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
inp51 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
msw1 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
mtc4 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rei1 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rim1 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl7a sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl13a sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl21b sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl22a sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl23a sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl37b sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl43b sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpp2b sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sam1 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sas2 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sch9 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sip2 sir2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2 sps1    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2 tif2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2 tis11    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2 tma19    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2 tor1    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2 ure2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2 ybr238c    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
afg3     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
alg12     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
dbp3     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
elp4     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
gpa2     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
hxk2     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
idh1     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
idh2     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
inp51     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
msw1     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
mtc4     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rei1     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rim1     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl7a     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl13a     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl21b     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl22a     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl23a     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl37b     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpl43b     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
rpp2b     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sam1     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sas2     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sch9     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sip2     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sps1     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
tif2     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
tis11     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
tma19     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
tor1     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
ure2     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
ybr238c     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
dbp3 fob1 sir2   ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 gpa2 sir2   ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 hxk2 sir2   ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 rei1 sir2   ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 rpl6b sir2   ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 rpl19a sir2   ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 rpl31a sir2   ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 sas2 sir2   ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 sch9 sir2   ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 gpa2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 hxk2    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 rpl31a    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 sch9    ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1     ,,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2     ,0.05% glucose,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2     ,3% glycerol,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2     ,3% ethanol,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
sir2     ,2% raffinose,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 sir2    ,0.05% glucose,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 sir2    ,3% glycerol,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 sir2    ,3% ethanol,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1 sir2    ,2% raffinose,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1     ,0.05% glucose,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1     ,3% glycerol,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1     ,3% ethanol,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
fob1     ,2% raffinose,BY4742,alpha,Delaney Kaeberlein 2011 Aging Cell,
wild type     ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
fob1     ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
gpa2     ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
gpr1     ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
hxk2     ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
fob1 hxk2    ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
fob1 gpa2    ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
hxk2 sir2    ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
gpa2 sir2    ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
fob1 sir2    ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
fob1 hxk2 sir2   ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
fob1 gpa2 sir2   ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
wild type     ,0.5% glucose,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
wild type     ,0.1% glucose,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
wild type     ,0.05% glucose,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
fob1 sir2    ,0.5% glucose,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
